Y,X,Z
-79.9914,40.44044,104.26
-79.9912,40.440441,103.97
-79.99,40.440442,103.69
-79.9908,40.440443,103.41
-79.9907,40.440444,103.13
-79.9905,40.440445,102.85
-79.9904,40.440446,102.57
-79.9902,40.440447,102.29
-79.9901,40.440448,102.01
-79.9898,40.440449,101.72
-79.9973,40.443082,119.98
-79.997,40.443003,135.28
-79.9971,40.442961,135
-79.997,40.442912,134.72
-79.9968,40.44283,134.44
-79.9966,40.442766,134.16
-79.9965,40.442722,133.88
-79.9964,40.442677,133.6
-79.9962,40.442627,133.31
-79.9961,40.442578,133.03
-79.996,40.442529,132.75
-79.9958,40.442458,132.47
-79.9956,40.442383,132.19
-79.9954,40.442341,131.91
-79.9953,40.442293,131.63
-79.9952,40.44225,131.35
-79.9951,40.442203,131.06
-79.9949,40.442141,130.78
-79.9947,40.44207,130.5
-79.9946,40.442023,130.22
-79.9945,40.441978,129.94
-79.9943,40.441922,129.66
-79.9942,40.441856,129.38
-79.994,40.441803,129.1
-79.9939,40.441729,128.81
-79.9938,40.441667,128.53
-79.993,40.441608,128.25
-79.9935,40.441496,127.97
-79.9934,40.441451,127.69
-79.9933,40.441405,127.41
-79.9931,40.441399,127.13
-79.9929,40.441448,126.85
-79.9927,40.441498,126.56
-79.9926,40.441529,126.28
-79.9924,40.441557,126
-79.9923,40.441604,125.72
-79.9921,40.4417,125.44
-79.9919,40.441843,125.16
-79.9918,40.442012,124.88
-79.991,40.442192,113.35
-79.9917,40.442277,113.06
-79.9916,40.442363,112.78
-80.0033,40.441505,71.59
-80.0032,40.441543,75.09
-80.003,40.441588,74.81
-80.0028,40.441643,74.53
-80.0027,40.441684,74.25
-80.0024,40.441744,73.97
-80.0023,40.44178,73.69
-80.0022,40.441816,73.41
-80.002,40.441852,73.12
-80.0019,40.441888,72.84
-80.0018,40.441926,72.56
-80.004,40.442243,73.75
-80.0039,40.442273,77.25
-80.0037,40.442306,76.97
-80.0036,40.442337,76.69
-80.003,40.44237,76.41
-80.0033,40.442404,76.13
-80.0032,40.442451,75.85
-80.003,40.442483,75.57
-80.0028,40.442534,75.28
-80.002,40.442566,75
-80.0026,40.442596,74.72
-80.0025,40.442634,74.44
-80.0023,40.442673,74.16
-80.0021,40.442723,73.88
-80.002,40.442761,73.6
-80.0018,40.442799,73.32
-80.0017,40.442834,73.03
-80.0015,40.442869,72.75
-80.0014,40.442903,72.47
-80.0013,40.442933,72.19
-80.0012,40.442965,71.91
-80.001,40.443022,71.63
-80.0008,40.443054,71.35
-80.0007,40.443086,71.07
-80.0005,40.443126,70.78
-80.0004,40.443156,70.5
-80.0002,40.44321,70.22
-80.0001,40.443252,69.94
-79.9999,40.443295,69.66
-79.9997,40.443345,69.38
-79.9995,40.443399,69.1
-79.9994,40.443428,68.82
-79.9992,40.443469,68.53
-79.999,40.443502,68.25
-79.999,40.443535,67.97
-79.9989,40.443569,67.69
-79.998,40.443602,67.41
-79.9986,40.443634,67.13
-79.9985,40.443664,66.85
-79.9983,40.443718,66.57
-79.9982,40.443749,66.28
-79.9981,40.443782,66
-79.9979,40.443815,65.72
-79.9978,40.443853,65.44
-79.9977,40.443886,65.16
-79.9975,40.443923,64.88
-79.9974,40.44397,64.6
-79.9972,40.444004,64.32
-79.9971,40.444048,64.03
-79.9969,40.444092,63.75
-79.99,40.444137,63.47
-79.9966,40.444182,63.19
-79.9964,40.444226,62.91
-79.996,40.444269,62.63
-79.9961,40.444311,62.35
-79.996,40.444351,62.07
-79.9958,40.444389,61.78
-79.9957,40.444427,61.5
-79.9956,40.444461,61.22
-79.9954,40.444498,60.94
-79.9953,40.44453,60.66
-79.9952,40.444566,60.38
-79.995,40.444594,60.1
-79.9949,40.444625,59.82
-79.994,40.444657,59.53
-79.9947,40.444689,59.25
-79.9945,40.444719,58.97
-79.9944,40.444755,58.69
-79.9943,40.444789,58.41
-79.9941,40.444821,58.13
-79.994,40.444849,57.85
-79.9938,40.444898,57.57
-79.9937,40.444944,57.28
-79.9936,40.445014,57
-79.9935,40.445069,56.72
-79.9934,40.445131,56.44
-79.9933,40.445194,56.16
-79.9932,40.445256,55.88
-79.9931,40.445322,55.6
-79.992,40.445403,55.32
-79.9927,40.445565,55.03
-79.9926,40.445642,54.75
-79.9925,40.445713,54.47
-79.9924,40.445777,54.19
-79.9923,40.445838,53.91
-79.9922,40.445895,53.63
-79.9921,40.445959,53.35
-79.992,40.446021,53.07
-79.9918,40.446089,52.78
-79.9917,40.446154,52.5
-79.9916,40.446219,52.22
-79.9915,40.446279,51.94
-79.991,40.446344,51.66
-79.9913,40.446412,51.38
-79.9912,40.446471,51.1
-79.9911,40.446534,50.82
-79.991,40.446601,50.53
-79.9909,40.446663,50.25
-79.9908,40.446728,49.97
-79.9907,40.446796,49.69
-80.0058,40.443181,72.78
-80.0056,40.443231,76.28
-80.0055,40.443261,76
-80.0054,40.44329,75.72
-80.0053,40.443323,75.44
-80.0051,40.443359,75.16
-80.005,40.443394,74.88
-80.0049,40.44343,74.6
-80.004,40.443459,74.31
-80.0046,40.443488,74.03
-80.0045,40.44353,73.75
-80.004,40.443565,73.47
-80.0042,40.443595,73.19
-80.0041,40.443625,72.91
-80.004,40.443656,72.63
-80.0038,40.443689,72.35
-80.0036,40.443742,72.06
-80.0035,40.443777,71.78
-80.0034,40.44381,71.5
-80.0032,40.44384,71.22
-80.0031,40.443872,70.94
-80.003,40.443904,70.66
-80.0029,40.443938,70.38
-80.0027,40.443985,70.1
-80.0025,40.444025,69.81
-80.0024,40.44406,69.53
-80.0023,40.444098,69.25
-80.0022,40.444137,68.97
-80.0021,40.444177,68.69
-80.0019,40.444217,68.41
-80.0017,40.444277,68.13
-80.0016,40.44432,67.85
-80.0015,40.444361,67.56
-80.0013,40.444418,67.28
-80.0012,40.444463,67
-80.001,40.444502,66.72
-80.0009,40.444538,66.44
-80.0008,40.444574,66.16
-80.005,40.443538,73.69
-80.005,40.443589,77.19
-80.0048,40.443625,76.91
-80.0046,40.443661,76.63
-80.0045,40.443696,76.35
-80.0043,40.443731,76.07
-80.0042,40.443766,75.79
-80.004,40.443801,75.51
-80.0039,40.443836,75.22
-80.0037,40.44387,74.94
-80.0035,40.443921,74.66
-80.0034,40.443954,74.38
-80.0041,40.443985,71.52
-80.004,40.444017,75.02
-80.0038,40.444052,74.74
-80.003,40.444105,74.46
-80.0034,40.444157,74.18
-80.0032,40.44421,73.9
-80.003,40.444263,73.62
-80.0028,40.444316,73.34
-80.0026,40.444371,73.05
-80.0024,40.444434,72.77
-80.0022,40.444496,72.49
-80.002,40.444557,72.21
-80.0018,40.444618,71.93
-80.0016,40.444677,71.65
-80.0014,40.444735,71.37
-80.0013,40.444793,71.09
-80.0011,40.44485,70.8
-80.0009,40.444905,70.52
-80.0007,40.444959,70.24
-80.0006,40.445011,69.96
-80.0004,40.445064,69.68
-80.0002,40.445118,69.4
-80,40.445173,69.12
-79.9999,40.445229,68.84
-79.999,40.445286,68.55
-79.9995,40.445344,68.27
-79.9993,40.445402,67.99
-79.9991,40.445461,67.71
-79.9989,40.445522,67.43
-79.9988,40.44559,67.15
-79.9986,40.445657,66.87
-79.9984,40.445723,66.59
-79.9983,40.445772,66.3
-79.9982,40.445817,66.02
-79.998,40.445884,65.74
-79.9978,40.445949,65.46
-79.9976,40.446017,65.18
-79.997,40.446085,64.9
-79.9972,40.446218,64.62
-79.997,40.44628,64.34
-79.9968,40.446341,64.05
-79.9967,40.446381,63.77
-79.9966,40.446435,63.49
-79.99,40.446486,63.21
-79.9963,40.446528,62.93
-79.9961,40.446592,62.65
-79.996,40.446644,62.37
-79.995,40.446695,62.09
-79.9956,40.446766,61.8
-79.9955,40.446848,61.52
-79.9954,40.446882,61.24
-79.9953,40.446924,60.96
-79.995,40.446918,60.68
-79.9948,40.446866,60.4
-79.9947,40.446812,60.12
-79.9946,40.446645,59.84
-79.9945,40.446544,59.55
-79.9944,40.446444,59.27
-79.9943,40.446369,58.99
-79.9928,40.447323,58.71
-79.9927,40.447391,58.43
-79.9926,40.447468,58.15
-79.9925,40.447537,57.87
-79.9923,40.447651,57.59
-79.992,40.447554,57.3
-79.9921,40.447484,57.02
-80.0026,40.437391,28.25
-80.0025,40.437544,31.75
-80.0024,40.437639,31.47
-80.002,40.437969,30.91
-80.0021,40.438053,30.63
-80.002,40.438261,30.35
-80.0019,40.438359,30.07
-80.0018,40.438584,29.78
-80.0017,40.438687,29.5
-80.0008,40.436835,27.37
-80.0007,40.436916,30.87
-80.0006,40.437096,30.59
-80.0005,40.437238,30.31
-80.0004,40.437357,30.03
-80.0003,40.437532,29.75
-80.0002,40.43762,29.47
-80.0001,40.437786,29.19
-80,40.437987,28.9
-79.9999,40.43808,28.62
-79.9998,40.438341,28.06
-79.999,40.43843,27.78
-79.9997,40.438519,27.5
-79.9996,40.43861,27.22
-79.9995,40.438737,26.94
-79.9994,40.438918,26.65
-79.9993,40.439,26.37
-79.9992,40.43917,26.09
-79.9991,40.439338,25.81
-79.999,40.43956,25.53
-79.9989,40.439653,25.25
-79.9988,40.439823,24.97
-79.9987,40.439997,24.69
-79.9986,40.440098,24.4
-79.9985,40.440241,24.12
-79.9984,40.440426,23.84
-79.9983,40.440519,23.56
-79.9999,40.436377,31.93
-79.9998,40.43653,35.43
-79.9997,40.436707,35.15
-79.999,40.436906,34.87
-79.9995,40.437017,34.59
-79.9994,40.4372,34.31
-79.9993,40.437291,34.03
-79.9992,40.437452,33.75
-79.9991,40.437624,33.46
-79.999,40.437801,33.18
-79.9989,40.438003,32.62
-79.9988,40.438109,32.34
-79.9987,40.438292,32.06
-79.998,40.438415,31.78
-79.9986,40.438496,31.5
-79.9985,40.438581,31.21
-79.998,40.438773,30.93
-79.9983,40.438876,30.65
-79.9979,40.437694,27.46
-80.0043,40.438028,29.49
-80.0042,40.438156,32.99
-80.004,40.438239,32.71
-80.0041,40.438331,32.43
-80.004,40.438418,32.15
-80.0039,40.438688,31.59
-80.0038,40.438776,31.31
-80.003,40.438945,31.02
-80.0035,40.439203,30.46
-80.0034,40.439292,30.18
-80.0017,40.438397,118.31
-80.0016,40.438343,118.03
-80.0014,40.438287,117.75
-80.0013,40.438234,117.47
-80.0012,40.438181,117.19
-80.001,40.438127,116.91
-80.0009,40.438069,116.63
-80.0007,40.438012,116.34
-80.0006,40.437956,116.06
-80.0004,40.437901,115.78
-80.0003,40.437848,115.5
-79.9999,40.437707,114.94
-79.9998,40.437656,114.66
-79.9996,40.437603,114.38
-79.9995,40.437544,114.09
-79.9994,40.437503,113.81
-79.9991,40.437403,113.25
-79.9989,40.437328,112.97
-79.9987,40.437251,112.69
-79.9986,40.437212,112.41
-79.9985,40.437165,112.13
-79.9984,40.437115,111.84
-79.9982,40.437066,111.56
-79.998,40.43699,111.28
-79.9979,40.436935,111
-79.9978,40.436891,110.72
-79.9977,40.436843,110.44
-79.9975,40.43679,110.16
-79.9974,40.436734,109.88
-79.997,40.436675,109.59
-79.9971,40.436612,109.31
-79.9969,40.436571,109.03
-79.9968,40.436527,108.75
-79.9967,40.436477,108.47
-79.9965,40.436407,108.19
-79.9963,40.436336,107.91
-79.9961,40.436272,107.63
-79.9959,40.436206,107.34
-79.9958,40.436164,107.06
-79.9956,40.436108,106.78
-79.9955,40.436071,106.5
-79.9954,40.436019,106.22
-79.9952,40.435959,105.94
-79.995,40.435897,105.66
-79.9948,40.435834,105.38
-79.994,40.435771,105.09
-79.9944,40.43572,104.81
-79.9943,40.43568,104.53
-79.99,40.435627,104.25
-79.994,40.435583,103.97
-79.9939,40.435534,103.69
-79.9937,40.435482,103.41
-79.9935,40.435425,103.13
-79.9934,40.435389,102.84
-79.9933,40.435355,102.56
-79.9932,40.43531,102.28
-79.993,40.435272,102
-79.9929,40.43522,101.72
-79.9927,40.435158,101.44
-79.9924,40.435099,101.16
-79.992,40.435038,100.88
-79.992,40.434977,100.59
-79.991,40.434925,100.31
-79.9916,40.434886,100.03
-79.9913,40.434867,99.75
-79.9911,40.43485,99.47
-79.9909,40.43484,99.19
-79.9906,40.434841,98.91
-79.9904,40.434839,98.63
-79.99,40.434835,98.34
-79.9899,40.434832,98.06
-79.9891,40.434833,97.78
-79.9889,40.43484,97.5
-79.9886,40.434855,97.22
-79.9884,40.434868,96.94
-79.9881,40.43488,96.66
-79.9879,40.434897,96.38
-79.9876,40.434916,96.09
-79.9874,40.434941,95.81
-79.987,40.434978,95.53
-79.9866,40.43502,95.25
-79.986,40.435038,94.97
-79.9864,40.435056,94.69
-79.9862,40.435075,94.41
-79.9861,40.435093,94.13
-79.986,40.435111,93.84
-79.9859,40.43513,93.56
-79.9857,40.435148,93.28
-79.9856,40.435167,93
-79.9855,40.435185,92.72
-79.9853,40.435204,92.44
-79.9852,40.435222,92.16
-79.9849,40.435258,91.88
-79.9848,40.435276,91.59
-79.9847,40.435294,91.31
-79.9846,40.435313,91.03
-79.9844,40.435331,90.75
-80.0057,40.43857,30.55
-80.0056,40.438666,34.05
-80.005,40.438837,33.77
-80.0054,40.438931,33.49
-80.005,40.439261,32.93
-80.0052,40.439349,32.65
-80.0051,40.439437,32.37
-80.005,40.439521,32.08
-80.0049,40.439713,31.8
-80.0048,40.439808,31.52
-80.0047,40.43996,31.24
-80.004,40.440176,30.96
-80.0045,40.440364,30.68
-80.0044,40.440447,30.4
-80.004,40.440615,29.83
-80.0042,40.440703,29.55
-80.0041,40.440886,29.27
-80.004,40.440971,28.99
-80.004,40.441102,28.71
-80.0039,40.441365,28.43
-80.004,40.441796,28.15
-80.0041,40.442183,27.87
-80.0022,40.442884,23.65
-80.002,40.443078,23.37
-80.0023,40.443175,23.08
-80.0024,40.44328,22.8
-80.0025,40.443586,22.52
-80.0026,40.443794,22.24
-80.0028,40.444198,21.68
-80.0029,40.444502,21.4
-80.003,40.444801,21.12
-80.0031,40.445125,20.83
-80.0033,40.445539,20.55
-80.0024,40.441541,204.67
-80.0025,40.441398,208.17
-80.0026,40.441299,207.89
-80.0027,40.441215,207.61
-80.0028,40.440996,207.33
-80.0029,40.440906,207.05
-80.003,40.440686,206.77
-80.0029,40.440532,206.49
-80.0022,40.441461,120.84
-80.0021,40.441381,120.56
-80.0019,40.441307,120.28
-80.0017,40.441269,120
-80.0016,40.441228,119.72
-80.0015,40.441176,119.44
-80.0014,40.441128,119.16
-80.0012,40.441079,118.87
-80.001,40.441031,118.59
-80.001,40.440991,118.31
-80.0009,40.44095,118.03
-80.0008,40.440901,117.75
-80.0007,40.440858,117.47
-80.0005,40.440818,117.19
-80.0003,40.440737,116.91
-80.0002,40.440695,116.62
-80.0001,40.440652,116.34
-80,40.440606,116.06
-79.9999,40.440559,115.78
-79.9997,40.440513,115.5
-79.9996,40.440469,115.22
-79.9995,40.44042,114.94
-79.9994,40.440376,114.66
-79.9993,40.440333,114.37
-79.999,40.440288,114.09
-79.999,40.440247,113.81
-79.9989,40.440207,113.53
-79.9988,40.440156,113.25
-79.9985,40.440045,112.69
-79.9983,40.439994,112.41
-79.9982,40.439944,112.12
-79.9981,40.439898,111.84
-79.998,40.439855,111.56
-79.9978,40.439782,111.28
-79.9976,40.439706,111
-79.9974,40.439635,110.72
-79.9972,40.439585,110.44
-79.9971,40.439531,110.16
-79.997,40.439481,109.87
-79.9969,40.439433,109.59
-79.9968,40.439378,109.31
-79.9966,40.439325,109.03
-79.9965,40.439285,108.75
-79.9964,40.439246,108.47
-79.9963,40.439205,108.19
-79.9961,40.439163,107.91
-79.996,40.439123,107.62
-79.9959,40.439084,107.34
-79.9958,40.439038,107.06
-79.9955,40.43899,106.78
-79.9953,40.438979,106.5
-79.9952,40.438971,106.22
-79.9951,40.438964,105.94
-79.9949,40.438956,105.66
-79.9948,40.438949,105.37
-79.9947,40.438942,105.09
-79.9946,40.438947,104.81
-79.9944,40.438949,104.53
-79.9942,40.43895,104.25
-79.994,40.438951,103.97
-79.9939,40.43895,103.69
-79.9937,40.438948,103.41
-79.9936,40.438945,103.12
-79.9934,40.438939,102.84
-79.9933,40.438931,102.56
-79.9931,40.438926,102.28
-79.993,40.438921,102
-79.992,40.438914,101.72
-79.9928,40.438907,101.44
-79.9927,40.438899,101.16
-79.9925,40.438891,100.87
-79.9924,40.438884,100.59
-79.992,40.438876,100.31
-79.992,40.438868,100.03
-79.9919,40.43886,99.75
-79.991,40.438854,99.47
-79.9915,40.438848,99.19
-79.9914,40.438842,98.91
-79.9912,40.438837,98.62
-79.991,40.438832,98.34
-79.991,40.438827,98.06
-79.9908,40.438823,97.78
-79.9906,40.438814,97.5
-79.9905,40.438807,97.22
-79.9903,40.4388,96.94
-79.99,40.438794,96.66
-79.99,40.438781,96.37
-79.9898,40.438775,96.09
-79.9897,40.438768,95.81
-79.9895,40.43876,95.53
-79.9894,40.438753,95.25
-79.9892,40.438745,94.97
-79.989,40.438736,94.69
-79.9889,40.438728,94.41
-79.9887,40.438719,94.12
-79.9886,40.43871,93.84
-79.9884,40.4387,93.56
-79.9882,40.43869,93.28
-80.0035,40.443542,164.98
-80.0034,40.443344,164.7
-80.0033,40.443151,164.42
-80.0032,40.442868,164.14
-80.003,40.44269,163.86
-80.0026,40.443898,164.98
-80.0025,40.44369,164.7
-80.0024,40.443481,164.42
-80.0022,40.442975,163.58
-80.002,40.442547,163.01
-80.001,40.442271,162.73
-80.0019,40.442176,162.45
-80.001,40.442073,162.17
-80.0015,40.441984,159.36
-80.0014,40.44202,159.08
-80.0013,40.442056,158.8
-80.0011,40.442091,158.51
-80.001,40.442122,158.23
-80.0009,40.442158,157.95
-80.0008,40.442188,157.67
-80.0006,40.442222,157.39
-80,40.442257,157.11
-80.0004,40.442288,156.83
-80.0003,40.44232,156.55
-79.9943,40.43958,143.33
-79.994,40.439493,143.05
-79.9944,40.439406,142.76
-79.99,40.439321,142.48
-80.0016,40.443992,163.05
-80.001,40.443803,162.77
-80.0014,40.443577,162.49
-80,40.443397,162.21
-80.0013,40.443302,161.93
-80.0012,40.443132,161.65
-80.0011,40.443891,163.05
-80.0013,40.445908,163.2
-80.0012,40.44577,166.7
-79.9995,40.44632,158.91
-79.9994,40.445962,162.41
-79.9993,40.445864,162.13
-79.9992,40.445679,161.85
-79.9991,40.445445,161.57
-79.999,40.445256,161.29
-80.0003,40.444708,162.84
-80,40.444542,166.34
-80.0002,40.444456,166.06
-80.0001,40.444276,165.78
-79.9999,40.444843,162.84
-79.9998,40.444671,166.34
-79.9997,40.444466,166.06
-79.999,40.444363,165.78
-79.9995,40.444058,165.5
-79.9994,40.443867,165.22
-79.9993,40.443685,164.94
-79.9991,40.443242,164.37
-79.999,40.442977,164.09
-79.998,40.442803,163.81
-79.9989,40.44268,163.53
-79.999,40.442646,163.25
-79.9991,40.442615,162.97
-79.999,40.442509,162.69
-79.9992,40.44242,162.41
-79.999,40.442335,162.12
-79.9993,40.442239,161.84
-79.9995,40.441938,161.28
-79.9996,40.441848,161
-79.9997,40.44175,160.72
-79.999,40.441569,160.44
-79.998,40.445464,157.26
-79.998,40.445353,160.76
-79.9979,40.445266,160.48
-79.997,40.445005,160.2
-79.9978,40.444919,159.92
-79.9977,40.444807,159.64
